disp_avg,t_cent,daily_average
1.094378264429976e-09,2020-04-22 20:30:00+00:00,9.665964134311035e-10
1.103474749888204e-09,2020-04-22 21:30:00+00:00,9.667902218634988e-10
1.0555987780886878e-09,2020-04-22 22:30:00+00:00,9.673633778661096e-10
9.962585046270562e-10,2020-04-22 23:30:00+00:00,9.67470260356602e-10
9.493651377795659e-10,2020-04-23 00:30:00+00:00,9.69045329144342e-10
9.249853936473972e-10,2020-04-23 01:30:00+00:00,9.706111404607091e-10
9.096035427300703e-10,2020-04-23 02:30:00+00:00,9.714399296052926e-10
8.537123306829302e-10,2020-04-23 03:30:00+00:00,9.720875007104025e-10
7.913456645438952e-10,2020-04-23 04:30:00+00:00,9.731416974108508e-10
6.843941067790068e-10,2020-04-23 05:30:00+00:00,9.744334495477927e-10
5.826682586518432e-10,2020-04-23 06:30:00+00:00,9.742971287121607e-10
6.063888508877055e-10,2020-04-23 07:30:00+00:00,9.748460709804819e-10
6.591810737970063e-10,2020-04-23 08:30:00+00:00,9.77382804491075e-10
8.436825824642045e-10,2020-04-23 09:30:00+00:00,9.79393318945193e-10
1.0771688497178377e-09,2020-04-23 10:30:00+00:00,9.80754183876917e-10
1.1879510726517465e-09,2020-04-23 11:30:00+00:00,9.810629037003145e-10
1.2252570474026622e-09,2020-04-23 12:30:00+00:00,9.804986592151796e-10
1.1902974401510972e-09,2020-04-23 13:30:00+00:00,9.808933159689057e-10
1.1308474519724687e-09,2020-04-23 14:30:00+00:00,9.790382481147245e-10
1.12826459997395e-09,2020-04-23 15:30:00+00:00,9.790749476010945e-10
1.1205984499115477e-09,2020-04-23 16:30:00+00:00,9.795833216736976e-10
1.1425162973943149e-09,2020-04-23 17:30:00+00:00,9.800942938462769e-10
1.147719386936164e-09,2020-04-23 18:30:00+00:00,9.803136094227241e-10
1.1175756787077544e-09,2020-04-23 19:30:00+00:00,9.801347297423787e-10
1.0869480030745468e-09,2020-04-23 20:30:00+00:00,9.798251355192358e-10
1.1035636033510925e-09,2020-04-23 21:30:00+00:00,9.798288377468563e-10
1.08138016908436e-09,2020-04-23 22:30:00+00:00,9.809030623716759e-10
9.85165827564614e-10,2020-04-23 23:30:00+00:00,9.80440867494074e-10
9.313838137954808e-10,2020-04-24 00:30:00+00:00,9.796916456614038e-10
9.030490908852815e-10,2020-04-24 01:30:00+00:00,9.787776330463157e-10
8.730273201177185e-10,2020-04-24 02:30:00+00:00,9.772536237708012e-10
