disp_avg,t_cent
8.989139710841987e-10,2020-03-17 04:30:00
7.780586631830077e-10,2020-03-17 07:30:00
1.423731682477159e-09,2020-03-17 10:30:00
1.7281938569799582e-09,2020-03-17 13:30:00
1.5527142766339574e-09,2020-03-17 16:30:00
1.57548289920194e-09,2020-03-17 19:30:00
1.5017306662180087e-09,2020-03-17 22:30:00
1.158469055726483e-09,2020-03-18 01:30:00
9.517635452417303e-10,2020-03-18 04:30:00
7.670681172698267e-10,2020-03-18 07:30:00
1.162712020775926e-09,2020-03-18 10:30:00
1.7618580261048004e-09,2020-03-18 13:30:00
1.5815373006470201e-09,2020-03-18 16:30:00
1.5593187984332825e-09,2020-03-18 19:30:00
1.5064428706885435e-09,2020-03-18 22:30:00
1.15454622765443e-09,2020-03-19 01:30:00
8.846988496619634e-10,2020-03-19 04:30:00
7.14050413852334e-10,2020-03-19 07:30:00
1.3673999253073047e-09,2020-03-19 10:30:00
1.6919439067770716e-09,2020-03-19 13:30:00
1.5226355032287852e-09,2020-03-19 16:30:00
1.5115507803483534e-09,2020-03-19 19:30:00
1.4558088134789244e-09,2020-03-19 22:30:00
1.1253433787970957e-09,2020-03-20 01:30:00
8.772078856109939e-10,2020-03-20 04:30:00
7.690149280743862e-10,2020-03-20 07:30:00
1.4527514777858707e-09,2020-03-20 10:30:00
1.7811689148354148e-09,2020-03-20 13:30:00
1.5957859669485801e-09,2020-03-20 16:30:00
1.5297225356831438e-09,2020-03-20 19:30:00
1.4988707666785168e-09,2020-03-20 22:30:00
1.1393823331439684e-09,2020-03-21 01:30:00
8.673929972669141e-10,2020-03-21 04:30:00
6.565071779861367e-10,2020-03-21 07:30:00
9.483150485331626e-10,2020-03-21 10:30:00
1.2402135602305463e-09,2020-03-21 13:30:00
1.2716465831299066e-09,2020-03-21 16:30:00
1.2502840469601696e-09,2020-03-21 19:30:00
1.1403899971920504e-09,2020-03-21 22:30:00
9.910575806036343e-10,2020-03-22 01:30:00
7.596288078590199e-10,2020-03-22 04:30:00
5.26476380423083e-10,2020-03-22 07:30:00
7.091940762212724e-10,2020-03-22 10:30:00
9.836666010240193e-10,2020-03-22 13:30:00
1.100636428005804e-09,2020-03-22 16:30:00
1.136991483941209e-09,2020-03-22 19:30:00
1.0761636559620023e-09,2020-03-22 22:30:00
9.40056946696478e-10,2020-03-23 01:30:00
7.54891123821333e-10,2020-03-23 04:30:00
7.007876547397549e-10,2020-03-23 07:30:00
1.3196053169641508e-09,2020-03-23 10:30:00
1.5919090977226813e-09,2020-03-23 13:30:00
1.3723964295708686e-09,2020-03-23 16:30:00
1.3367134636768027e-09,2020-03-23 19:30:00
1.3091191231466913e-09,2020-03-23 22:30:00
1.050803756195683e-09,2020-03-24 01:30:00
8.211350795898886e-10,2020-03-24 04:30:00
6.906863597803167e-10,2020-03-24 07:30:00
1.3499646753998285e-09,2020-03-24 10:30:00
1.5969414362353276e-09,2020-03-24 13:30:00
1.4142298190327004e-09,2020-03-24 16:30:00
1.4049879553878032e-09,2020-03-24 19:30:00
